date,user,course,weighted_lost,all_tasks_assignment_count,all_tasks_missing_points,all_tasks_total_points,practice_assignment_count,practice_missing_points,practice_total_points,overall_average
2026-05-05,194190,AP US History B,42.1,1,12.5,35.0,1,10.0,10.0,26.9
2026-05-05,194190,Chorus HS 2B,0.0,0,0.0,15.0,0,0.0,0.0,26.9
2026-05-05,194190,English 10 AP Seminar B,59.0,2,60.0,100.0,2,30.0,60.0,26.9
2026-05-05,194190,Hon Chemistry B,0.0,0,0.0,41.0,0,0.0,0.0,26.9
2026-05-05,194190,Hon French 4B,0.0,0,0.0,19.0,0,0.0,0.0,26.9
2026-05-05,194190,Hon Precalculus B,55.0,3,33.0,66.0,4,8.0,8.0,26.9
2026-05-05,194190,Marketing A,32.5,1,5.0,20.0,1,5.0,5.0,26.9
2026-05-14,194190,AP US History B,42.1,1,12.5,35.0,1,10.0,10.0,27.1
2026-05-14,194190,Chorus HS 2B,0.0,0,0.0,15.0,0,0.0,0.0,27.1
2026-05-14,194190,English 10 AP Seminar B,58.7,4,83.0,139.0,2,30.0,60.0,27.1
2026-05-14,194190,Hon Chemistry B,0.0,0,0.0,41.0,0,0.0,0.0,27.1
2026-05-14,194190,Hon French 4B,0.0,0,0.0,19.0,0,0.0,0.0,27.1
2026-05-14,194190,Hon Precalculus B,70.6,4,68.0,101.0,4,8.0,8.0,27.1
2026-05-14,194190,Marketing A,18.2,1,5.0,55.0,3,15.0,15.0,27.1
2026-05-18,194190,AP US History B,23.5,2,17.5,85.0,1,10.0,20.0,34.5
2026-05-18,194190,Chorus HS 2B,0.0,0,0.0,30.0,0,0.0,24.0,34.5
2026-05-18,194190,English 10 AP Seminar B,53.8,3,73.0,129.0,1,20.0,70.0,34.5
2026-05-18,194190,Hon Chemistry B,0.0,0,0.0,41.0,0,0.0,0.0,34.5
2026-05-18,194190,Hon French 4B,61.0,1,40.0,59.0,0,0.0,0.0,34.5
2026-05-18,194190,Hon Precalculus B,68.9,4,68.0,101.0,5,10.0,12.0,34.5
2026-05-18,194190,Marketing A,34.5,2,15.0,55.0,3,15.0,15.0,34.5
2026-05-19,194190,AP US History B,32.8,4,27.5,95.0,2,40.0,60.0,36.1
2026-05-19,194190,Chorus HS 2B,0.0,0,0.0,30.0,0,0.0,24.0,36.1
2026-05-19,194190,English 10 AP Seminar B,47.4,3,73.0,149.0,1,20.0,60.0,36.1
2026-05-19,194190,Hon Chemistry B,8.3,0,0.0,97.0,1,25.0,30.0,36.1
2026-05-19,194190,Hon French 4B,61.0,1,40.0,59.0,0,0.0,0.0,36.1
2026-05-19,194190,Hon Precalculus B,68.9,4,68.0,101.0,5,10.0,12.0,36.1
2026-05-19,194190,Marketing A,34.5,2,15.0,55.0,3,15.0,15.0,36.1
2026-05-20,194190,AP US History B,34.4,4,27.5,95.0,3,50.0,60.0,37.2
2026-05-20,194190,Chorus HS 2B,0.0,0,0.0,30.0,0,0.0,24.0,37.2
2026-05-20,194190,English 10 AP Seminar B,53.4,4,83.0,149.0,1,20.0,60.0,37.2
2026-05-20,194190,Hon Chemistry B,8.3,0,0.0,97.0,1,25.0,30.0,37.2
2026-05-20,194190,Hon French 4B,61.0,1,40.0,59.0,0,0.0,0.0,37.2
2026-05-20,194190,Hon Precalculus B,68.9,4,68.0,101.0,5,10.0,12.0,37.2
2026-05-20,194190,Marketing A,34.5,2,15.0,55.0,3,15.0,15.0,37.2
2026-05-21,194190,AP US History B,29.4,4,27.5,95.0,2,20.0,60.0,36.9
2026-05-21,194190,Chorus HS 2B,0.0,0,0.0,30.0,0,0.0,24.0,36.9
2026-05-21,194190,English 10 AP Seminar B,38.3,2,58.0,149.0,1,20.0,60.0,36.9
2026-05-21,194190,Hon Chemistry B,26.2,1,24.0,121.0,1,25.0,30.0,36.9
2026-05-21,194190,Hon French 4B,61.0,1,40.0,59.0,0,0.0,0.0,36.9
2026-05-21,194190,Hon Precalculus B,68.9,4,68.0,101.0,5,10.0,12.0,36.9
2026-05-21,194190,Marketing A,34.5,2,15.0,55.0,3,15.0,15.0,36.9
2026-05-22,194190,AP US History B,29.4,4,27.5,95.0,2,20.0,60.0,28.2
2026-05-22,194190,Chorus HS 2B,0.0,0,0.0,30.0,0,0.0,24.0,28.2
2026-05-22,194190,English 10 AP Seminar B,38.3,2,58.0,149.0,1,20.0,60.0,28.2
2026-05-22,194190,Hon Chemistry B,26.2,1,24.0,121.0,1,25.0,30.0,28.2
2026-05-22,194190,Hon French 4B,0.0,0,0.0,79.0,0,0.0,0.0,28.2
2026-05-22,194190,Hon Precalculus B,69.2,5,69.0,102.0,5,10.0,12.0,28.2
2026-05-22,194190,Marketing A,34.5,2,15.0,55.0,3,15.0,15.0,28.2
2026-05-27,194190,AP US History B,30.4,4,27.5,95.0,3,30.0,70.0,26.2
2026-05-27,194190,Chorus HS 2B,0.0,0,0.0,30.0,0,0.0,24.0,26.2
2026-05-27,194190,English 10 AP Seminar B,23.0,2,33.0,159.0,2,30.0,70.0,26.2
2026-05-27,194190,Hon Chemistry B,26.2,1,24.0,121.0,1,25.0,30.0,26.2
2026-05-27,194190,Hon French 4B,0.0,0,0.0,79.0,0,0.0,0.0,26.2
2026-05-27,194190,Hon Precalculus B,69.2,5,69.0,102.0,5,10.0,12.0,26.2
2026-05-27,194190,Marketing A,34.5,2,15.0,55.0,3,15.0,15.0,26.2
